File Path,Line Number,Violation Type,Priority,Description,Line Content,Suggested Fix
temp/manual_validation/concurrency_balanced/concurrency_balanced.md_example_7.asthra,5,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn simple_producer_consumer() -> Result<Vec<i32>, string> {","pub fn simple_producer_consumer(none) -> Result<Vec<i32>, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_10.asthra,23,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn pqc_key_encapsulation() -> Result<EncapsulationResult, string> {","priv fn pqc_key_encapsulation(none) -> Result<EncapsulationResult, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_2.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn grammar_compliant_function() -> Result<void, string> {","priv fn grammar_compliant_function(none) -> Result<void, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_12.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn grammar_test_case() -> Result<void, string> {","priv fn grammar_test_case(none) -> Result<void, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_16.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn result_chain_example() -> Result<string, string> {","priv fn result_chain_example(none) -> Result<string, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_16.asthra,12,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn advanced_task_coordination() -> Result<void, string> {","priv fn advanced_task_coordination(none) -> Result<void, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_16.asthra,33,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn enhanced_ffi_pattern() -> Result<[]u8, string> {","priv fn enhanced_ffi_pattern(none) -> Result<[]u8, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_14.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn optimized_string_operations() -> Result<void, string> {","priv fn optimized_string_operations(none) -> Result<void, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_8.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn generate_pqc_keypair() -> Result<PQCKeyPair, string> {","priv fn generate_pqc_keypair(none) -> Result<PQCKeyPair, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_11.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn comprehensive_pqc_workflow() -> Result<SecureSession, string> {","priv fn comprehensive_pqc_workflow(none) -> Result<SecureSession, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_13.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn tuple_pattern_matching() -> Result<void, string> {","priv fn tuple_pattern_matching(none) -> Result<void, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_3.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn comprehensive_error_handling() -> Result<string, string> {","priv fn comprehensive_error_handling(none) -> Result<string, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_7.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn cryptographic_key_exchange() -> Result<SharedSecret, string> {","priv fn cryptographic_key_exchange(none) -> Result<SharedSecret, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_7.asthra,9,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn complex_concurrent_operation() -> Result<void, string> {","priv fn complex_concurrent_operation(none) -> Result<void, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_7.asthra,17,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn simple_c_wrapper() -> Result<void, string> {","priv fn simple_c_wrapper(none) -> Result<void, string> {"
temp/manual_validation/advanced-topics/advanced-topics.md_example_15.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"priv fn advanced_slice_operations() -> Result<void, string> {","priv fn advanced_slice_operations(none) -> Result<void, string> {"
temp/manual_validation/security/security.md_example_5.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn generate_secure_random() -> Result<[]u8, string> {","pub fn generate_secure_random(none) -> Result<[]u8, string> {"
temp/manual_validation/security/security.md_example_11.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn secure_crypto_operation() -> Result<[]u8, string> {","pub fn secure_crypto_operation(none) -> Result<[]u8, string> {"
temp/manual_validation/security/security.md_example_7.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn generate_session_id() -> Result<string, string> {","pub fn generate_session_id(none) -> Result<string, string> {"
temp/manual_validation/security/security.md_example_7.asthra,18,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn generate_salt() -> Result<[]u8, string> {","pub fn generate_salt(none) -> Result<[]u8, string> {"
temp/manual_validation/security/security.md_example_14.asthra,4,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","true => return Result.Err(""Input too small: {data.len} < "" + min_size + """"),","Convert to concatenation: ""true => return Result.Err(""Input too small:"" + data.len + ""< "" + min_size + """"),"""
temp/manual_validation/security/security.md_example_14.asthra,7,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","true => return Result.Err(""Input too large: {data.len} > "" + max_size + """"),","Convert to concatenation: ""true => return Result.Err(""Input too large:"" + data.len + ""> "" + max_size + """"),"""
temp/manual_validation/security/security.md_example_18.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn test_security_features() -> Result<void, string> {","pub fn test_security_features(none) -> Result<void, string> {"
temp/manual_validation/security/security.md_example_10.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn handle_sensitive_key() -> Result<void, string> {","pub fn handle_sensitive_key(none) -> Result<void, string> {"
temp/manual_validation/ai_generation_guidelines/ai_generation_guidelines.md_example_25.asthra,4,empty_params,HIGH,Function with empty parameter list should use (none),pub fn conflicting_annotations() -> void {},pub fn conflicting_annotations(none) -> void {}
temp/manual_validation/ai_generation_guidelines/ai_generation_guidelines.md_example_25.asthra,8,empty_params,HIGH,Function with empty parameter list should use (none),pub fn consistent_annotation() -> void {},pub fn consistent_annotation(none) -> void {}
temp/manual_validation/ai_generation_guidelines/ai_generation_guidelines.md_example_23.asthra,8,empty_params,HIGH,Function with empty parameter list should use (none),fn c_function_owned() -> *mut u8;,fn c_function_owned(none) -> *mut u8;
temp/manual_validation/ai_generation_guidelines/ai_generation_guidelines.md_example_23.asthra,15,empty_params,HIGH,Function with empty parameter list should use (none),pub fn use_c_functions() -> void {,pub fn use_c_functions(none) -> void {
temp/manual_validation/ai_generation_guidelines/ai_generation_guidelines.md_example_24.asthra,9,empty_params,HIGH,Function with empty parameter list should use (none),pub fn main() -> void {,pub fn main(none) -> void {
temp/manual_validation/ai_generation_guidelines/ai_generation_guidelines.md_example_22.asthra,4,empty_params,HIGH,Function with empty parameter list should use (none),pub fn complex_coordination() -> void {,pub fn complex_coordination(none) -> void {
temp/manual_validation/introduction/introduction.md_example_4.asthra,4,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","log(""DEBUG"", ""Processing {data.len} data points"");","Convert to concatenation: ""log(""DEBUG"", ""Processing"" + data.len + ""data points"");"""
temp/manual_validation/introduction/introduction.md_example_4.asthra,11,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","log(""PERF"", ""Calculation completed in {timer.elapsed()}ms"");","Convert to concatenation: ""log(""PERF"", ""Calculation completed in"" + timer.elapsed() + ""ms"");"""
temp/manual_validation/introduction/introduction.md_example_6.asthra,6,empty_params,HIGH,Function with empty parameter list should use (none),pub fn main() -> i32 {,pub fn main(none) -> i32 {
temp/manual_validation/building-projects/building-projects.md_example_2.asthra,4,empty_params,HIGH,Function with empty parameter list should use (none),pub fn debug_function() -> void {,pub fn debug_function(none) -> void {
temp/manual_validation/building-projects/building-projects.md_example_2.asthra,9,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn crypto_function() -> Result<[]u8, string> {","pub fn crypto_function(none) -> Result<[]u8, string> {"
temp/manual_validation/building-projects/building-projects.md_example_2.asthra,14,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn full_feature_function() -> Result<void, string> {","pub fn full_feature_function(none) -> Result<void, string> {"
temp/manual_validation/building-projects/building-projects.md_example_4.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn robust_build_step() -> Result<void, string> {","pub fn robust_build_step(none) -> Result<void, string> {"
temp/manual_validation/building-projects/building-projects.md_example_3.asthra,8,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn test_key_generation() -> Result<void, string> {","pub fn test_key_generation(none) -> Result<void, string> {"
temp/manual_validation/building-projects/building-projects.md_example_3.asthra,23,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn test_secure_compare() -> Result<void, string> {","pub fn test_secure_compare(none) -> Result<void, string> {"
temp/manual_validation/building-projects/building-projects.md_example_1.asthra,5,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn pre_build() -> Result<void, string> {","pub fn pre_build(none) -> Result<void, string> {"
temp/manual_validation/building-projects/building-projects.md_example_1.asthra,18,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn post_build() -> Result<void, string> {","pub fn post_build(none) -> Result<void, string> {"
temp/manual_validation/generic_structs_migration/generic_structs_migration.md_example_2.asthra,23,empty_params,HIGH,Function with empty parameter list should use (none),fn new() -> IntList { /* ... */ },fn new(none) -> IntList { /* ... */ }
temp/manual_validation/generic_structs_migration/generic_structs_migration.md_example_2.asthra,28,empty_params,HIGH,Function with empty parameter list should use (none),fn new() -> StringList { /* ... */ },fn new(none) -> StringList { /* ... */ }
temp/manual_validation/generic_structs_migration/generic_structs_migration.md_example_2.asthra,33,empty_params,HIGH,Function with empty parameter list should use (none),fn new() -> FloatList { /* ... */ },fn new(none) -> FloatList { /* ... */ }
temp/manual_validation/generic_structs_migration/generic_structs_migration.md_example_17.asthra,4,empty_params,HIGH,Function with empty parameter list should use (none),pub fn test_user_cache_integration() -> void {,pub fn test_user_cache_integration(none) -> void {
temp/manual_validation/generic_structs_migration/generic_structs_migration.md_example_8.asthra,21,empty_params,HIGH,Function with empty parameter list should use (none),pub fn example_ffi_usage() -> void {,pub fn example_ffi_usage(none) -> void {
temp/manual_validation/generic_structs_migration/generic_structs_migration.md_example_16.asthra,4,empty_params,HIGH,Function with empty parameter list should use (none),pub fn test_vec_operations() -> void {,pub fn test_vec_operations(none) -> void {
temp/manual_validation/generic_structs_migration/generic_structs_migration.md_example_3.asthra,11,empty_params,HIGH,Function with empty parameter list should use (none),fn new() -> List<T> {,fn new(none) -> List<T> {
temp/manual_validation/ffi-interop/ffi-interop.md_example_7.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn get_data_from_c() -> Result<[]u8, string> {","pub fn get_data_from_c(none) -> Result<[]u8, string> {"
temp/manual_validation/ffi-interop/ffi-interop.md_example_17.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"extern ""libc"" fn get_errno() -> i32;","extern ""libc"" fn get_errno(none) -> i32;"
temp/manual_validation/ffi-interop/ffi-interop.md_example_21.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn simple_c_call() -> Result<void, string> {","pub fn simple_c_call(none) -> Result<void, string> {"
temp/manual_validation/ffi-interop/ffi-interop.md_example_5.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn comprehensive_string_example() -> Result<void, string> {","pub fn comprehensive_string_example(none) -> Result<void, string> {"
temp/manual_validation/ffi-interop/ffi-interop.md_example_3.asthra,4,empty_params,HIGH,Function with empty parameter list should use (none),pub fn use_primitive_marshaling() -> i32 {,pub fn use_primitive_marshaling(none) -> i32 {
temp/manual_validation/ffi-interop/ffi-interop.md_example_20.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn variadic_example() -> Result<void, string> {","pub fn variadic_example(none) -> Result<void, string> {"
temp/manual_validation/ffi-interop/ffi-interop.md_example_14.asthra,6,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn complex_ownership_example() -> Result<void, string> {","pub fn complex_ownership_example(none) -> Result<void, string> {"
temp/manual_validation/ffi-interop/ffi-interop.md_example_18.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn robust_c_interaction() -> Result<string, string> {","pub fn robust_c_interaction(none) -> Result<string, string> {"
temp/manual_validation/ffi-interop/ffi-interop.md_example_10.asthra,4,empty_params,HIGH,Function with empty parameter list should use (none),pub fn create_buffer() -> #[transfer_full] *mut u8 { ... },pub fn create_buffer(none) -> #[transfer_full] *mut u8 { ... }
temp/manual_validation/ffi-interop/ffi-interop.md_example_2.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn safe_wrapper_example() -> Result<void, string> {","pub fn safe_wrapper_example(none) -> Result<void, string> {"
temp/manual_validation/object-oriented/object-oriented.md_example_17.asthra,16,empty_params,HIGH,Function with empty parameter list should use (none),pub fn method_resolution_examples() -> void {,pub fn method_resolution_examples(none) -> void {
temp/manual_validation/object-oriented/object-oriented.md_example_15.asthra,62,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn file_operations() -> Result<void, string> {","pub fn file_operations(none) -> Result<void, string> {"
temp/manual_validation/object-oriented/object-oriented.md_example_19.asthra,4,empty_params,HIGH,Function with empty parameter list should use (none),pub fn create_connection() -> HttpClient { ... },pub fn create_connection(none) -> HttpClient { ... }
temp/manual_validation/object-oriented/object-oriented.md_example_11.asthra,7,empty_params,HIGH,Function with empty parameter list should use (none),pub fn new() -> StringBuilder {,pub fn new(none) -> StringBuilder {
temp/manual_validation/object-oriented/object-oriented.md_example_11.asthra,25,empty_params,HIGH,Function with empty parameter list should use (none),pub fn build_message() -> string {,pub fn build_message(none) -> string {
temp/manual_validation/object-oriented/object-oriented.md_example_16.asthra,21,empty_params,HIGH,Function with empty parameter list should use (none),pub fn test_visibility() -> void {,pub fn test_visibility(none) -> void {
temp/manual_validation/object-oriented/object-oriented.md_example_14.asthra,43,empty_params,HIGH,Function with empty parameter list should use (none),pub fn create_database_connections() -> void {,pub fn create_database_connections(none) -> void {
temp/manual_validation/object-oriented/object-oriented.md_example_18.asthra,4,empty_params,HIGH,Function with empty parameter list should use (none),fn create_default() -> Calculator { ... },fn create_default(none) -> Calculator { ... }
temp/manual_validation/object-oriented/object-oriented.md_example_12.asthra,74,empty_params,HIGH,Function with empty parameter list should use (none),pub fn create_request() -> HttpRequest {,pub fn create_request(none) -> HttpRequest {
temp/manual_validation/object-oriented/object-oriented.md_example_12.asthra,78,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation",".with_body(""{\""name\"": \""John Doe\""}"")","Convert to concatenation: "".with_body("" + \""name\"": \""John Doe\"" + "")"""
temp/manual_validation/observability/observability.md_example_14.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn memory_debugging_example() -> Result<void, string> {","pub fn memory_debugging_example(none) -> Result<void, string> {"
temp/manual_validation/observability/observability.md_example_7.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn replay_enabled_workflow() -> Result<void, string> {","pub fn replay_enabled_workflow(none) -> Result<void, string> {"
temp/manual_validation/observability/observability.md_example_5.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn structured_logging_example() -> Result<void, string> {","pub fn structured_logging_example(none) -> Result<void, string> {"
temp/manual_validation/observability/observability.md_example_9.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn comprehensive_debugging_example() -> Result<void, string> {","pub fn comprehensive_debugging_example(none) -> Result<void, string> {"
temp/manual_validation/observability/observability.md_example_9.asthra,9,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","log(""DEBUG"", ""Data slice: ptr={data.ptr} len={data.len}"");","Convert to concatenation: ""log(""DEBUG"", ""Data slice: ptr="" + data.ptr + ""len="" + data.len + "");"""
temp/manual_validation/observability/observability.md_example_9.asthra,18,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","log(""DEBUG"", ""Processing successful: {processed.len} bytes output"");","Convert to concatenation: ""log(""DEBUG"", ""Processing successful:"" + processed.len + ""bytes output"");"""
temp/manual_validation/observability/observability.md_example_9.asthra,31,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","log(""DEBUG"", ""Input data length: {data.len}"");","Convert to concatenation: ""log(""DEBUG"", ""Input data length:"" + data.len + "");"""
temp/manual_validation/observability/observability.md_example_12.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn performance_monitoring_example() -> Result<void, string> {","pub fn performance_monitoring_example(none) -> Result<void, string> {"
temp/manual_validation/observability/observability.md_example_1.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),pub fn basic_logging_example() -> void {,pub fn basic_logging_example(none) -> void {
temp/manual_validation/observability/observability.md_example_3.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn io_comparison_example() -> Result<void, string> {","pub fn io_comparison_example(none) -> Result<void, string> {"
temp/manual_validation/observability/observability.md_example_10.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn ai_diagnostic_example() -> Result<void, string> {","pub fn ai_diagnostic_example(none) -> Result<void, string> {"
temp/manual_validation/observability/observability.md_example_15.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn external_tool_integration() -> Result<void, string> {","pub fn external_tool_integration(none) -> Result<void, string> {"
temp/manual_validation/observability/observability.md_example_4.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn error_logging_example() -> Result<void, string> {","pub fn error_logging_example(none) -> Result<void, string> {"
temp/manual_validation/observability/observability.md_example_8.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn debug_pattern_matching() -> Result<void, string> {","pub fn debug_pattern_matching(none) -> Result<void, string> {"
temp/manual_validation/observability/observability.md_example_13.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn concurrent_debugging_example() -> Result<void, string> {","pub fn concurrent_debugging_example(none) -> Result<void, string> {"
temp/manual_validation/observability/observability.md_example_2.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),pub fn string_logging_example() -> void {,pub fn string_logging_example(none) -> void {
temp/manual_validation/observability/observability.md_example_11.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn ai_error_context_example() -> Result<void, string> {","pub fn ai_error_context_example(none) -> Result<void, string> {"
temp/manual_validation/annotations/annotations.md_example_20.asthra,5,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn secure_function() -> Result<void, string> {","pub fn secure_function(none) -> Result<void, string> {"
temp/manual_validation/annotations/annotations.md_example_20.asthra,19,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn crypto_function() -> Result<[]u8, string> {","pub fn crypto_function(none) -> Result<[]u8, string> {"
temp/manual_validation/annotations/annotations.md_example_6.asthra,21,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn generate_random_salt() -> Result<[]u8, string> {","pub fn generate_random_salt(none) -> Result<[]u8, string> {"
temp/manual_validation/annotations/annotations.md_example_15.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),pub fn create_managed_data() -> []u8 {,pub fn create_managed_data(none) -> []u8 {
temp/manual_validation/annotations/annotations.md_example_15.asthra,11,empty_params,HIGH,Function with empty parameter list should use (none),pub fn create_c_compatible_data() -> *mut u8 {,pub fn create_c_compatible_data(none) -> *mut u8 {
temp/manual_validation/annotations/annotations.md_example_15.asthra,19,empty_params,HIGH,Function with empty parameter list should use (none),pub fn create_pinned_secure_buffer() -> []u8 {,pub fn create_pinned_secure_buffer(none) -> []u8 {
temp/manual_validation/memory-management/memory-management.md_example_8.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn slice_management_examples() -> Result<void, string> {","pub fn slice_management_examples(none) -> Result<void, string> {"
temp/manual_validation/memory-management/memory-management.md_example_11.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn secure_memory_example() -> Result<void, string> {","pub fn secure_memory_example(none) -> Result<void, string> {"
temp/manual_validation/memory-management/memory-management.md_example_5.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"extern ""my_lib"" fn get_fixed_buffer() -> *mut u8;","extern ""my_lib"" fn get_fixed_buffer(none) -> *mut u8;"
temp/manual_validation/memory-management/memory-management.md_example_9.asthra,3,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn get_data_from_c() -> Result<[]u8, string> {","pub fn get_data_from_c(none) -> Result<[]u8, string> {"
temp/manual_validation/memory-management/memory-management.md_example_7.asthra,8,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn slice_operations_example() -> Result<usize, string> {","pub fn slice_operations_example(none) -> Result<usize, string> {"
temp/manual_validation/memory-management/memory-management.md_example_12.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn memory_safety_example() -> Result<void, string> {","pub fn memory_safety_example(none) -> Result<void, string> {"
temp/manual_validation/memory-management/memory-management.md_example_10.asthra,2,empty_params,HIGH,Function with empty parameter list should use (none),"pub fn handle_sensitive_key() -> Result<void, string> {","pub fn handle_sensitive_key(none) -> Result<void, string> {"
internal/runtime/memory_allocator.asthra,93,empty_params,HIGH,Function with empty parameter list should use (none),"extern ""asthra_runtime"" fn asthra_get_timestamp() -> u64;","extern ""asthra_runtime"" fn asthra_get_timestamp(none) -> u64;"
internal/runtime/memory_allocator.asthra,108,empty_params,HIGH,Function with empty parameter list should use (none),"fn get_allocation_stats() -> (usize, usize, usize) {","fn get_allocation_stats(none) -> (usize, usize, usize) {"
docs/examples/generic_structs_example.asthra,154,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","log(""Mathematical constants: π≈{x}, e≈{y}"");","Convert to concatenation: ""log(""Mathematical constants: π≈"" + x + "", e≈"" + y + "");"""
docs/examples/generic_structs_example.asthra,160,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","log(""Person: {name} is {age} years old"");","Convert to concatenation: ""log(""Person:"" + name + ""is"" + age + ""years old"");"""
docs/examples/generic_structs_example.asthra,168,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","log(""Active user cache (ID: {id}) contains {user_list.len} users"");","Convert to concatenation: ""log(""Active user cache (ID:"" + id + "") contains"" + user_list.len + ""users"");"""
docs/examples/generic_structs_example.asthra,170,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","log(""Inactive user cache (ID: {id})"");","Convert to concatenation: ""log(""Inactive user cache (ID:"" + id + "")"");"""
docs/examples/generic_structs_example.asthra,179,string_interpolation,CRITICAL,"String interpolation removed in v1.22, use concatenation","log(""Found number at index 1: {num}"");","Convert to concatenation: ""log(""Found number at index 1:"" + num + "");"""
docs/examples/generic_structs_example.asthra,187,auto_type,MEDIUM,Auto type annotation should be explicit type,"let auto_pair: auto = Pair.new(""inference"", 42);  // Pair<string, i32> inferred;","let auto_pair: <explicit_type> = Pair.new(""inference"", 42);  // Pair<string, i32> inferred;"
docs/examples/generic_structs_example.asthra,188,auto_type,MEDIUM,Auto type annotation should be explicit type,"let auto_container: auto = Container.new(auto_pair, ""metadata"", 999);  // Container<Pair<string, i32>, string>;","let auto_container: <explicit_type> = Container.new(auto_pair, ""metadata"", 999);  // Container<Pair<string, i32>, string>;"
docs/examples/generic_structs_example.asthra,191,auto_type,MEDIUM,Auto type annotation should be explicit type,"let point_2d: auto = Point2D { x: 10.0, y: 20.0 };","let point_2d: <explicit_type> = Point2D { x: 10.0, y: 20.0 };"
docs/examples/optional_elements_phase1_examples.asthra,35,return_void,LOW,Functions returning void should use return; not return void;,return void;,return;
docs/examples/optional_elements_phase1_examples.asthra,40,return_void,LOW,Functions returning void should use return; not return void;,return void;,return;
docs/examples/optional_elements_phase1_examples.asthra,44,empty_struct_void,HIGH,Empty struct should use { none } instead of { void },priv struct Empty { void },priv struct Empty { none }
